id,uf,name,lat,lon,is_capital
2608750,PE,Lagoa Grande,,,false
2608800,PE,Lajedo,-8.657914,-36.329336,false
2608909,PE,Limoeiro,,,false
2609006,PE,Macaparana,-7.555638,-35.44246,false
2609105,PE,Machados,-7.688274,-35.511376,false
2609154,PE,Manari,-8.964901,-37.631298,false
2609204,PE,Maraial,-8.790624,-35.82663,false
2609303,PE,Mirandiba,-8.121131,-38.738841,false
2609402,PE,Moreno,,,false
2609501,PE,Nazaré da Mata,-7.741491,-35.219297,false
2609600,PE,Olinda,-8.0014,-34.8465,false
2609709,PE,Orobó,-7.745535,-35.595568,false
2609808,PE,Orocó,-8.610258,-39.602631,false
2609907,PE,Ouricuri,-7.879184,-40.079983,false
2610004,PE,Palmares,,,false
2610103,PE,Palmeirina,-9.010896,-36.324202,false
2610202,PE,Panelas,-8.661211,-36.012539,false
2610301,PE,Paranatama,-8.91875,-36.654905,false
2610400,PE,Parnamirim,,,false
2610509,PE,Passira,-7.997102,-35.581261,false
2610608,PE,Paudalho,-7.90287,-35.171639,false
2610707,PE,Paulista,,,false
2610806,PE,Pedra,-8.496411,-36.939962,false
2610905,PE,Pesqueira,-8.357974,-36.697783,false
2611002,PE,Petrolândia,,,false
2611101,PE,Petrolina,-9.3908,-40.4994,false
2611200,PE,Poção,-8.187258,-36.711137,false
2611309,PE,Pombos,-8.139816,-35.396732,false
2611408,PE,Primavera,,,false
2611507,PE,Quipapá,-8.811752,-36.013665,false
2611533,PE,Quixaba,,,false
2611606,PE,Recife,-8.058107723,-34.89790466,true
2611705,PE,Riacho das Almas,-8.137417,-35.864796,false
2611804,PE,Ribeirão,-8.509568,-35.369824,false
2611903,PE,Rio Formoso,-8.659196,-35.153212,false
2612000,PE,Sairé,-8.328638,-35.696737,false
2612109,PE,Salgadinho,,,false
2612208,PE,Salgueiro,-8.073734,-39.12469,false
2612307,PE,Saloá,-8.972301,-36.691031,false
2612406,PE,Sanharó,-8.360969,-36.569598,false
2612455,PE,Santa Cruz,,,false
2612471,PE,Santa Cruz da Baixa Verde,-7.81339,-38.14756,false
2612505,PE,Santa Cruz do Capibaribe,-7.948019,-36.206092,false
2612554,PE,Santa Filomena,,,false
2612604,PE,Santa Maria da Boa Vista,-8.797655,-39.824056,false
2612703,PE,Santa Maria do Cambucá,-7.83676,-35.894138,false
2612802,PE,Santa Terezinha,,,false
2612901,PE,São Benedito do Sul,-8.816603,-35.945346,false
2613008,PE,São Bento do Una,-8.52637,-36.446469,false
2613107,PE,São Caitano,,,false
2613206,PE,São João,,,false
2613305,PE,São Joaquim do Monte,-8.431962,-35.803498,false
2613404,PE,São José da Coroa Grande,-8.889375,-35.151461,false
2613503,PE,São José do Belmonte,-7.857235,-38.757689,false
2613602,PE,São José do Egito,-7.469447,-37.273974,false
2613701,PE,São Lourenço da Mata,,,false
2613800,PE,São Vicente Ferrer,,,false
2613909,PE,Serra Talhada,-7.981778,-38.289034,false
2614006,PE,Serrita,-7.940406,-39.295062,false
2614105,PE,Sertânia,-8.068467,-37.268393,false
2614204,PE,Sirinhaém,-8.587782,-35.11259,false
2614303,PE,Moreilândia,-7.619314,-39.545999,false
2614402,PE,Solidão,-7.594717,-37.644494,false
2614501,PE,Surubim,-7.847456,-35.748102,false
2614600,PE,Tabira,-7.583661,-37.537735,false
2614709,PE,Tacaimbó,-8.308673,-36.300035,false
2614808,PE,Tacaratu,-9.097976,-38.150401,false
2614857,PE,Tamandaré,,,false
2615003,PE,Taquaritinga do Norte,-7.894457,-36.042265,false
2615102,PE,Terezinha,-9.056208,-36.627236,false
2615201,PE,Terra Nova,,,false
2615300,PE,Timbaúba,-7.504835,-35.311884,false
2615409,PE,Toritama,-8.009546,-36.063659,false
2615508,PE,Tracunhaém,-7.802284,-35.231421,false
2615607,PE,Trindade,-16.6515453,-49.4932195,false
2615706,PE,Triunfo,,,false
2615805,PE,Tupanatinga,-8.747984,-37.344532,false
2615904,PE,Tuparetama,-7.592317,-37.305768,false
2616001,PE,Venturosa,-8.578855,-36.874187,false
2616100,PE,Verdejante,-7.922353,-38.970083,false
2616183,PE,Vertente do Lério,-7.770844,-35.849054,false
2616209,PE,Vertentes,,,false
2616308,PE,Vicência,-7.656549,-35.31395,false
2616407,PE,Vitória de Santo Antão,-8.1281909,-35.2976201,false
2616506,PE,Xexéu,-8.804601,-35.621222,false
2700102,AL,Água Branca,-9.285143,-37.847545,false
2700201,AL,Anadia,-9.684886,-36.307783,false
2700300,AL,Arapiraca,-9.7549,-36.6616,false
2700409,AL,Atalaia,-9.511898,-36.008552,false
2700508,AL,Barra de Santo Antônio,-9.402297,-35.510083,false
2700607,AL,Barra de São Miguel,-9.823274,-35.885578,false
2700706,AL,Batalha,-9.674195,-37.133014,false
2700805,AL,Belém,-9.570472,-36.490399,false
2700904,AL,Belo Monte,-9.822718,-37.277014,false
2701001,AL,Boca da Mata,-9.643082,-36.212498,false
2701100,AL,Branquinha,-9.2478057,-36.0152009,false
2701209,AL,Cacimbinhas,-9.401212,-36.991082,false
2701308,AL,Cajueiro,-9.399402,-36.155937,false
2701357,AL,Campestre,-8.847228,-35.56847,false
2701407,AL,Campo Alegre,-9.782967,-36.3527835,false
2701506,AL,Campo Grande,-9.9554162,-36.7926146,false
2701605,AL,Canapi,-9.119319,-37.5967,false
2701704,AL,Capela,,,false
2701803,AL,Carneiros,-9.484762,-37.377303,false
2701902,AL,Chã Preta,-9.255605,-36.298334,false
2702009,AL,Coité do Nóia,-9.633484,-36.584493,false
2702108,AL,Colônia Leopoldina,-8.918058,-35.721414,false
2702207,AL,Coqueiro Seco,-9.637147,-35.799377,false
2702306,AL,Coruripe,-10.127632,-36.171724,false
2702355,AL,Craíbas,-9.617798,-36.769726,false
2702405,AL,Delmiro Gouveia,-9.385336,-37.998676,false
2702504,AL,Dois Riachos,-9.384645,-37.096502,false
2702553,AL,Estrela de Alagoas,-9.390894,-36.764407,false
2702603,AL,Feira Grande,-9.898586,-36.681521,false
2702702,AL,Feliz Deserto,-10.293491,-36.302788,false
2702801,AL,Flexeiras,-9.272807,-35.713933,false
2702900,AL,Girau do Ponciano,-9.884041,-36.831592,false
2703007,AL,Ibateguara,-8.978232,-35.937325,false
2703106,AL,Igaci,-9.5631648,-36.6785896,false
2703205,AL,Igreja Nova,,,false
2703304,AL,Inhapi,-9.225936,-37.750871,false
2703403,AL,Jacaré dos Homens,-9.635446,-37.207636,false
2703502,AL,Jacuípe,,,false
2703601,AL,Japaratinga,-9.087464,-35.263403,false
2703700,AL,Jaramataia,-9.662243,-37.004558,false
2703759,AL,Jequiá da Praia,-10.013268,-36.01423,false
2703809,AL,Joaquim Gomes,-9.1372894,-35.7518862,false
2703908,AL,Jundiá,,,false
2704005,AL,Junqueiro,-9.906961,-36.480346,false
2704104,AL,Lagoa da Canoa,-9.832909,-36.741257,false
2704203,AL,Limoeiro de Anadia,-9.740983,-36.512097,false
2704302,AL,Maceió,-9.6476843,-35.7339264,true
2704401,AL,Major Isidoro,-9.530086,-36.992006,false
2704500,AL,Maragogi,-9.007443,-35.226692,false
2704609,AL,Maravilha,,,false
2704708,AL,Marechal Deodoro,-9.709715,-35.896731,false
2704807,AL,Maribondo,-9.583528,-36.304488,false
2704906,AL,Mar Vermelho,-9.447393,-36.388076,false
2705002,AL,Mata Grande,-9.118243,-37.732298,false
2705101,AL,Matriz de Camaragibe,-9.154373,-35.524302,false
2705200,AL,Messias,-9.393843,-35.839182,false
2705309,AL,Minador do Negrão,-9.312358,-36.869553,false
2705408,AL,Monteirópolis,-9.603569,-37.250463,false
2705507,AL,Murici,-9.306823,-35.942798,false
2705606,AL,Novo Lino,-8.941905,-35.664001,false
2705705,AL,Olho d'Água das Flores,,,false
2705804,AL,Olho d'Água do Casado,,,false
2705903,AL,Olho d'Água Grande,,,false
2706000,AL,Olivença,,,false
2706109,AL,Ouro Branco,,,false
2706208,AL,Palestina,,,false
2706307,AL,Palmeira dos Índios,-9.405681,-36.632812,false
2706406,AL,Pão de Açúcar,-9.740325,-37.440336,false
2706422,AL,Pariconha,-9.256342,-37.998751,false
2706448,AL,Paripueira,,,false
2706505,AL,Passo de Camaragibe,-9.24511,-35.47449,false
2706604,AL,Paulo Jacinto,,,false
2706703,AL,Penedo,,,false
2706802,AL,Piaçabuçu,-10.399074,-36.416389,false
2706901,AL,Pilar,,,false
2707008,AL,Pindoba,-9.473822,-36.291829,false
2707107,AL,Piranhas,,,false
2707206,AL,Poço das Trincheiras,-9.307417,-37.288932,false
2707305,AL,Porto Calvo,-9.051948,-35.398653,false
2707404,AL,Porto de Pedras,-9.160065,-35.304914,false
2707503,AL,Porto Real do Colégio,-10.18489,-36.837551,false
2707602,AL,Quebrangulo,-9.3217611,-36.4735837,false
2707701,AL,Rio Largo,-9.477829,-35.839435,false
2707800,AL,Roteiro,-9.835029,-35.978247,false
2707909,AL,Santa Luzia do Norte,,,false
2708006,AL,Santana do Ipanema,-9.369989,-37.248018,false
2708105,AL,Santana do Mundaú,-9.171413,-36.217608,false
2708204,AL,São Brás,-10.120734,-36.896529,false
